midx,problem,graphID,#nodes,depth,prfV,bubble_nids
33413,66,1353,243,18,[],[]
23530,48,1584,388,17,[],[]
50967,98,2819,111,11,[],[]
39409,77,1475,127,16,[],[]
18509,39,1587,379,11,"[311, 321, 340, 348, 363, 369]",[]
48824,94,1975,167,12,[],[77]
36812,72,1319,653,25,[],[]
2090,102,1278,314,13,"[248, 256, 285, 293]","[96, 161]"
13001,29,1393,170,15,"[114, 122]",[]
26182,52,5007,182,10,"[151, 159]",[]
20960,43,1378,153,13,"[112, 122, 132]",[]
49248,95,1268,185,10,[],[]
49678,96,1059,462,20,"[91, 100, 109, 153, 182, 211, 383, 391, 417, 425, 440, 446]",[]
18145,38,214,150,14,[],[]
13951,30,1389,83,12,[],[]
27104,54,284,87,11,"[75, 81]",[]
17620,37,1919,130,13,"[114, 122]",[]
14269,30,318,89,16,[],[]
31247,61,888,114,11,"[86, 96]",[]
10980,25,1133,141,12,[],[]
6505,17,1124,272,18,"[174, 180]",[]
41588,80,690,364,16,[],[]
43494,84,3336,226,15,"[192, 198, 211, 217]",[]
35284,7,1007,310,13,"[146, 152]",[]
6406,16,85,69,8,[],[]
21945,45,1682,158,12,"[128, 134]",[]
49838,96,280,159,13,"[125, 131, 144, 150]",[]
41948,81,1863,647,13,"[267, 277, 298, 308, 344, 354, 375, 385, 421, 431, 452, 462, 498, 508, 529, 539, 575, 585, 606, 616]",[]
2,1,1008,157,15,"[64, 70]",[]
33756,66,75,333,12,[],[]
38061,74,370,276,13,"[102, 108, 121, 127]",[]
11690,26,509,111,11,[],[]
43313,84,1811,192,12,"[166, 173, 180]",[]
12325,27,671,219,24,[],[]
27373,55,1205,227,12,[],[]
33202,65,851,181,14,[],[]
10000,23,1158,136,12,"[112, 119]",[]
2774,103,538,286,17,"[181, 190, 199, 248, 257, 266]",[]
49602,95,884,141,10,[],[]
17653,37,257,202,16,"[184, 192]",[]
33213,65,872,123,10,[],[]
29242,58,833,245,13,[],[]
38909,76,1655,228,11,"[191, 200, 209]",[]
16615,35,2185,193,13,"[167, 174, 181]",[]
44902,87,359,118,17,"[104, 110]",[]
40866,8,1408,298,12,[],[116]
43770,85,1255,227,19,[],[]
8140,2,319,266,12,"[169, 175, 188, 194, 248, 256]",[]
4178,12,157,218,21,"[202, 208]",[]
43590,84,3983,191,10,"[165, 172, 179]",[]
20164,41,57,272,25,[],[]
8582,20,185,304,9,"[209, 217, 243, 251, 281, 289]",[]
40029,78,304,252,16,[],[146]
45655,88,895,70,14,[],[]
40062,78,461,233,17,[],[121]
12010,27,1437,423,16,"[122, 138, 208, 215, 222, 265, 272, 279, 294, 301, 308, 353, 360, 367, 382, 389, 396]",[]
12982,29,133,144,13,"[130, 136]",[]
49557,95,767,155,10,[],[]
30536,60,1931,238,14,"[175, 190, 205]",[]
39700,77,9,211,12,"[187, 194, 201]",[]
1164,100,1975,269,12,"[164, 175, 186, 227, 238, 249]",[]
11356,25,894,180,15,[],[]
40184,78,862,167,19,[],[]
32476,64,2300,748,17,"[394, 432, 470, 508, 546, 584, 622, 660]",[215]
27799,55,956,147,11,[],[]
38438,75,357,182,13,[],[]
